name,url,price,ram,rom,image,category
samsung galaxy s20 ultra,https://viettelstore.vn/dien-thoai/samsung-galaxy-s20-ultra-pid144826.html,19990000,12 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/care-galaxy%20s20%20ultra-grey-1.jpg,samsung
oppo a31 4gb/128gb,https://viettelstore.vn/dien-thoai/oppo-a31-4gb-128gb-pid146001.html,3290000,4gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xanh836499493.jpg,oppo
vsmart star 3,https://viettelstore.vn/dien-thoai/vsmart-star-3-pid145676.html,1590000,2gb (ddr3),16 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1vsmart-star-3.jpg,vsmart
vivo u10,https://viettelstore.vn/dien-thoai/vivo-u10-pid144620.html,3290000,4 gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo%20u10-blu-1.jpg,vivo
nokia 8.3-5g,https://viettelstore.vn/dien-thoai/nokia-8-3-5g-pid158003.html,9500000,nan,ram/rom: 8/128gb2 | thẻ nhớ microsd hỗ trợ lên tới 400gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/lg-5g-nokia-8.3-1.jpg,nokia
itel it2171,https://viettelstore.vn/dien-thoai/itel-it2171-pid137490.html,230000,nan,nan,https://cdn1.viettelstore.vn/images/product/productimage/medium/22053461605.jpg,other
itel 5025,https://viettelstore.vn/dien-thoai/itel-5025-pid142825.html,260000,nan,32 mb,https://cdn1.viettelstore.vn/images/product/productimage/medium/itel-it5025-blue-2-400x460.png,other
oppo a5 2020 4gb-128gb,https://viettelstore.vn/dien-thoai/oppo-a5-2020-4gb-128gb-pid141450.html,3090000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/trang1849068855.jpg,oppo
iphone 12 pro max 128gb,https://viettelstore.vn/dien-thoai/iphone-12-pro-max-128gb-pid159099.html,29490000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphone%2012%20pro%20-pro%20max-blu-1.jpg,iphone
iphone 12 64gb,https://viettelstore.vn/dien-thoai/iphone-12-pid145802.html,19990000,4gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphone%2012-mini-gree-1.jpg,iphone
realme 5i 4gb-64gb,https://viettelstore.vn/dien-thoai/realme-5i-4gb-64gb-pid144235.html,3290000, 4 gb,64 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/637142747589081245_realme-5i-blue-1.png.jpg,realme
realme 5i 3gb-32gb,https://viettelstore.vn/dien-thoai/realme-5i-3gb-32gb-pid146021.html,3290000,3 gb,32 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/637142747588768746_realme-5i-green-1.png423864956.jpg,realme
vivo y11,https://viettelstore.vn/dien-thoai/vivo-y11-pid141970.html,2890000,3 gb,32 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/y11.jpg,vivo
iphone 11 pro 256gb,https://viettelstore.vn/dien-thoai/iphone-11-pro-256gb-pid141881.html,24990000,4 gb,256 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphone%2011%20pro-gol-11921950394.jpg,iphone
oppo reno3 pro,https://viettelstore.vn/dien-thoai/oppo-reno3-pro-pid147071.html,6990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/den1175081593.jpg,oppo
oppo reno2 f,https://viettelstore.vn/dien-thoai/oppo-reno-2f-pid140915.html,8990000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/637063038223413617_oppo-reno2-f-xanh-1-1.png,oppo
