Tên,Link,Giá,Ảnh,Hệ điều hành,Loại màn hình,Camera sau,Camera trước,Chipset,RAM,Bộ nhớ trong (ROM)
Điện Thoại Samsung Galaxy A11 32GB Xanh,https://pico.vn/41125/dtdd-samsung-sma115fds-32gb-xanhgalaxy-a11.html,2690000,https://cdn.pico.vn/Product/41125/354257_untitled-1.jpg,Android 10,PLS TFT LCD,"Sau : 13Mp, 5Mp, 2Mp (3 camera)",Trước : 8 MP,Snapdragon 450 8 nhân,Ram 3GB,32GB
Samsung Galaxy A31 Xanh 128Gb,https://pico.vn/41124/dtdd-samsung-sma315fds-128gb-xanhgalaxy-a31.html,5690000,https://cdn.pico.vn/Product/41124/354276_untitled-1.jpg,Android 10,Super AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP, 5 MP",20.0 MP,,6 Gb,128 GB
Samsung Galaxy A31 Trắng 128Gb,https://pico.vn/41123/dtdd-samsung-sma315fds-128gb-tranggalaxy-a31.html,5690000,https://cdn.pico.vn/Product/41123/354292_untitled-1.jpg,Android 10,Super AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP, 5 MP",20.0 MP,MediaTek MT6768 8 nhân (Helio P65),6 Gb,128 GB
Samsung Galaxy A31 Đen 128Gb,https://pico.vn/41122/dtdd-samsung-sma315fds-128gb-dengalaxy-a31.html,5690000,https://cdn.pico.vn/Product/41122/354285_untitled-1.jpg,Android 10,Super AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP, 5 MP",20.0 MP,,6 Gb,128 GB
Điện Thoại Samsung Galaxy A71 128GB Xanh,https://pico.vn/40782/dien-thoai-di-dong-samsung-a715-128gb-xanh--galaxy-a71.html,7490000,https://cdn.pico.vn/Product/40782/349777_untitled-1.jpg,Android 10.0,Super AMOLED,"Camera sau: 64 MP và 12 MP,5 MP,5MP (4 camera)",Camera trước: 32 MP,Snapdragon 730,8 GB,128 GB
Điện Thoại Samsung Galaxy A71 128GB Đen,https://pico.vn/40781/dien-thoai-di-dong-samsung-a715-128gb-den--galaxy-a71.html,7490000,https://cdn.pico.vn/Product/40781/349783_untitled-1.jpg,Android 10.0,Super AMOLED,"Camera sau: 64 MP và 12 MP,5 MP,5MP (4 camera)",Camera trước: 32 MP,Snapdragon 730,8 GB,"128 GB,"
Điện Thoại Iphone 11 Pro Gold 256GB-VIE-MWC92VN/A + Kit Viettel,https://pico.vn/40777/dien-thoai-di-dong-iphone-11-pro-gold-256gbviemwc92vna--kit-viettel.html,28990000,https://cdn.pico.vn/Product/40777/349575_untitled-1.jpg,iOS 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic 6 nhân,Ram 4 GB,256 Gb
Điện Thoại Di Động Nokia 105 TA- 1174 DS VN Blue 2 Sim,https://pico.vn/40752/dien-thoai-di-dong-nokia-105-ta1174-ds-vn-blue--2-sim.html,369000,https://cdn.pico.vn/Product/40752/349050_img4028.jpg,,TFT QQVGA,,,,,
Điện Thoại Di Động Nokia 105 TA-1174 DS VN Black 2 Sim,https://pico.vn/40751/dien-thoai-di-dong-nokia-105-ta1174-ds-vn-black--2-sim.html,369000,https://cdn.pico.vn/Product/40751/349060_img4033.jpg,,TFT QQVGA,,,,,
Điện Thoại Iphone 11 Pro Space Gray 256GB-VIE-MWC72VN/A + Kit Viettel,https://pico.vn/40708/dien-thoai-di-dong-iphone-11-pro-space-gray-256gbviemwc72vna--kit-viettel.html,28990000,https://cdn.pico.vn/Product/40708/347975_344613iphone-11-pro-max-space-select-2019.jpg,Ios 13,"Super Retina XDR, màn OLED",3 camera 12 MP,Trước 12MP,Apple A13 Bionic 6 nhân,Ram 4 GB,256 Gb
