name,category,price,image,url,ram,memory/rom
apple iphone xs max 64gb i chính hãng vn/a ,iphone,21.700.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_xs_max_64gb.jpg,https://cellphones.com.vn/apple-iphone-xs-max-64-gb-chinh-hang-vn.html,,
vsmart joy 3 4gb,vsmart,2.690.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/j/o/joy-3-4g-tim.jpg,https://cellphones.com.vn/vsmart-joy-3-4gb.html,4 gb,
iphone 12 pro max 512gb i chính hãng vn/a ,iphone,38.500.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12-pro-max_3__6.jpg,https://cellphones.com.vn/iphone-12-pro-max-512gb.html,6 gb,
xiaomi redmi 9c,xiaomi,2.100.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi-9c_2_.jpg,https://cellphones.com.vn/xiaomi-redmi-9c.html,2 gb,
xiaomi redmi 9t,xiaomi,4.150.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-redmi-9t_1_.jpg,https://cellphones.com.vn/xiaomi-redmi-9t.html,,
samsung galaxy s20 ultra,samsung,18.700.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/6/3/637170935875912528_ss-s20-ultra-den-1.png,https://cellphones.com.vn/samsung-galaxy-s20-ultra.html,12 gb,
vsmart star 4,vsmart,2.090.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart_star_4.jpg,https://cellphones.com.vn/vsmart-star-4.html,3 gb,
vivo v20,vivo,6.790.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/i/vivo-v20_2_.jpg,https://cellphones.com.vn/vivo-v20.html,8 gb,
realme 7i,realme,5.390.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/realme-7i-xanh-duong_1.jpg,https://cellphones.com.vn/realme-7i.html,8 gb,
realme 7 pro,realme,8.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/realme-7-pro-2.jpg,https://cellphones.com.vn/realme-7-pro.html,8 gb,
iphone se 2020 i chính hãng vn/a ,iphone,10.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-se-2020_1__6.jpg,https://cellphones.com.vn/iphone-se-2.html,3 gb,
iphone x 64gb chính hãng (mã vn/a),iphone,16.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-x-final_1_1.jpg,https://cellphones.com.vn/apple-iphone-x-64-gb-chinh-hang-vn.html,,
iphone 11 pro 256gb i chính hãng vn/a ,iphone,28.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/l/a/layer_23_1.jpg,https://cellphones.com.vn/iphone-11-pro-256gb.html,4 gb,
samsung galaxy s21 plus 5g 256gb,samsung,22.050.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-s21-plus-3_3.jpg,https://cellphones.com.vn/samsung-galaxy-s21-plus-256gb.html,8 gb,
samsung galaxy z fold2 5g,samsung,47.500.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxy-z-fold2-5g-1.jpg,https://cellphones.com.vn/samsung-galaxy-fold-2.html,12 gb,
 iphone se 2020 256gb i chính hãng vn/a ,iphone,13.790.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-se-2020_1__4.jpg,https://cellphones.com.vn/iphone-se-2020-256gb.html,3 gb,
realme c11,realme,2.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/realme_c11_0003_layer_1_2.jpg,https://cellphones.com.vn/realme-c11.html,2 gb,
oppo reno4,oppo,6.990.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/_/0/_0003_combo_-_reno4_-_blue_-_full_check.jpg,https://cellphones.com.vn/oppo-reno-4.html,8 gb,
realme c15,realme,3.390.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/6/3/637400868092278961_realme-c15-xanh-1_2.png,https://cellphones.com.vn/realme-c15.html,4 gb,
oppo a12 3gb,oppo,2.590.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-a12_1_.jpg,https://cellphones.com.vn/oppo-a12.html,3 gb,
iphone 8 plus 64gb i chính hãng vn/a ,iphone,12.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/m/img-apple-main_copy_2_8.jpg,https://cellphones.com.vn/apple-iphone-8-plus-64-gb-chinh-hang-vn.html,,
vsmart star 4 2gb,vsmart,1.850.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart_star_4_3.jpg,https://cellphones.com.vn/vsmart-star-4-2gb.html,2 gb,
asus rog phone 2 512gb,other,20.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/_/6/_600x600__crop_600_asus_rog_phone2_min_1.jpg,https://cellphones.com.vn/asus-rog-phone-2.html,12 gb,
oppo a94,oppo,6.990.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-a94-purple.png,https://cellphones.com.vn/oppo-a94.html,8 gb,
poco f2 pro 5g (6gb - 128gb),other,9.200.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/p/o/poco_f2_0003_layer_1.jpg,https://cellphones.com.vn/xiaomi-poco-f2-pro.html,6 gb,
realme c20,realme,2.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/realme-c20-1.jpg,https://cellphones.com.vn/realme-c20.html,2 gb,
samsung galaxy a51,samsung,6.500.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a51-white-400x400_1_2_5_2.jpg,https://cellphones.com.vn/samsung-galaxy-a51.html,6 gb,
xiaomi redmi 9c 3gb - 64gb,xiaomi,2.610.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi-9c_3__1_2.jpg,https://cellphones.com.vn/xiaomi-redmi-9c-64gb.html,3 gb,
